NULL mobile tv soap bike 
name canvas bravia sandal bullet 
color gold black brown stone 
technology gsm led NULL NULL 
sim dual NULL NULL NULL 
os android-lollipop NULL NULL NULL 
chipset mediatek NULL NULL NULL 
cpu cortex-a53 NULL NULL NULL 
ram 3gb NULL NULL NULL 
memory 32gb NULL NULL NULL 
camera 8mp NULL NULL NULL 
battery li-ion NULL NULL 8ah-mf 
cost 15000 55000 70 141000 
power NULL ac NULL NULL 
weight 0.2 9 0.4 200 
screen 3 40 NULL NULL 
rating 4 4 4 4 
engine NULL NULL NULL 350cc 
tank NULL NULL NULL 20 
